accession,component,length_bp
XM_049687305.1,Anopheles_darlingi_mRNA,1057
XM_049687291.1,Anopheles_darlingi_mRNA,1082
XM_049687282.1,Anopheles_darlingi_mRNA,1159
XM_049687274.1,Anopheles_darlingi_mRNA,1441
XM_049687264.1,Anopheles_darlingi_mRNA,1227
XM_049687251.1,Anopheles_darlingi_mRNA,2085
XM_049687238.1,Anopheles_darlingi_mRNA,1505
XM_049687225.1,Anopheles_darlingi_mRNA,2393
XM_049687209.1,Anopheles_darlingi_mRNA,2619
XM_049687199.1,Anopheles_darlingi_mRNA,2263
XM_049687190.1,Anopheles_darlingi_mRNA,2660
XM_049687177.1,Anopheles_darlingi_mRNA,1252
XM_049687167.1,Anopheles_darlingi_mRNA,1441
XM_049687152.1,Anopheles_darlingi_mRNA,1480
XM_049687136.1,Anopheles_darlingi_mRNA,1915
XM_049687124.1,Anopheles_darlingi_mRNA,4029
XM_049687114.1,Anopheles_darlingi_mRNA,1947
XM_049687101.1,Anopheles_darlingi_mRNA,2369
XM_049687093.1,Anopheles_darlingi_mRNA,2444
XM_049687084.1,Anopheles_darlingi_mRNA,2447
XM_049687075.1,Anopheles_darlingi_mRNA,2456
XM_049687062.1,Anopheles_darlingi_mRNA,1239
XM_049687053.1,Anopheles_darlingi_mRNA,2300
XM_049687039.1,Anopheles_darlingi_mRNA,2725
XM_049687025.1,Anopheles_darlingi_mRNA,1948
XM_049687012.1,Anopheles_darlingi_mRNA,2438
XM_049687002.1,Anopheles_darlingi_mRNA,2465
XM_049686992.1,Anopheles_darlingi_mRNA,2743
XM_049686983.1,Anopheles_darlingi_mRNA,2468
XM_049686971.1,Anopheles_darlingi_mRNA,2303
XM_049686956.1,Anopheles_darlingi_mRNA,2963
XM_049686946.1,Anopheles_darlingi_mRNA,3185
XM_049686932.1,Anopheles_darlingi_mRNA,5162
XM_049686923.1,Anopheles_darlingi_mRNA,5203
XM_049686914.1,Anopheles_darlingi_mRNA,3633
XM_049686907.1,Anopheles_darlingi_mRNA,2779
XM_049686898.1,Anopheles_darlingi_mRNA,2965
XM_049686891.1,Anopheles_darlingi_mRNA,3106
XM_049686883.1,Anopheles_darlingi_mRNA,3204
XM_049686876.1,Anopheles_darlingi_mRNA,3208
XM_049686862.1,Anopheles_darlingi_mRNA,3081
XM_049686851.1,Anopheles_darlingi_mRNA,2107
XM_049686843.1,Anopheles_darlingi_mRNA,2107
XM_049686836.1,Anopheles_darlingi_mRNA,2841
XM_049686825.1,Anopheles_darlingi_mRNA,4425
XM_049686814.1,Anopheles_darlingi_mRNA,3771
XM_049686806.1,Anopheles_darlingi_mRNA,3486
XM_049686797.1,Anopheles_darlingi_mRNA,3486
XM_049686786.1,Anopheles_darlingi_mRNA,4218
XM_049686775.1,Anopheles_darlingi_mRNA,5582
XM_049686764.1,Anopheles_darlingi_mRNA,7106
XM_049686753.1,Anopheles_darlingi_mRNA,12702
XM_049686747.1,Anopheles_darlingi_mRNA,12918
XM_049686739.1,Anopheles_darlingi_mRNA,12545
XM_049686731.1,Anopheles_darlingi_mRNA,12951
XM_049686720.1,Anopheles_darlingi_mRNA,2248
XM_049686713.1,Anopheles_darlingi_mRNA,2271
XM_049686705.1,Anopheles_darlingi_mRNA,2397
XM_049686694.1,Anopheles_darlingi_mRNA,577
XM_049686681.1,Anopheles_darlingi_mRNA,3324
XM_049686673.1,Anopheles_darlingi_mRNA,2968
XM_049686666.1,Anopheles_darlingi_mRNA,3327
XM_049686656.1,Anopheles_darlingi_mRNA,5053
XM_049686645.1,Anopheles_darlingi_mRNA,695
XM_049686634.1,Anopheles_darlingi_mRNA,2293
XM_049686627.1,Anopheles_darlingi_mRNA,2822
XM_049686621.1,Anopheles_darlingi_mRNA,2304
XM_049686615.1,Anopheles_darlingi_mRNA,2826
XM_049686607.1,Anopheles_darlingi_mRNA,3909
XM_049686599.1,Anopheles_darlingi_mRNA,1754
XM_049686589.1,Anopheles_darlingi_mRNA,1416
XM_049686580.1,Anopheles_darlingi_mRNA,1647
XM_049686570.1,Anopheles_darlingi_mRNA,2356
XM_049686560.1,Anopheles_darlingi_mRNA,3305
XM_049686552.1,Anopheles_darlingi_mRNA,3331
XM_049686544.1,Anopheles_darlingi_mRNA,3333
XM_049686538.1,Anopheles_darlingi_mRNA,3374
XM_049686528.1,Anopheles_darlingi_mRNA,1381
XM_049686521.1,Anopheles_darlingi_mRNA,1331
XM_049686513.1,Anopheles_darlingi_mRNA,1326
XM_049686503.1,Anopheles_darlingi_mRNA,1301
XM_049686496.1,Anopheles_darlingi_mRNA,1330
XM_049686483.1,Anopheles_darlingi_mRNA,3499
XM_049686474.1,Anopheles_darlingi_mRNA,4378
XM_049686467.1,Anopheles_darlingi_mRNA,4378
XM_049686455.1,Anopheles_darlingi_mRNA,2460
XM_049686444.1,Anopheles_darlingi_mRNA,1525
XM_049686435.1,Anopheles_darlingi_mRNA,1603
XM_049686423.1,Anopheles_darlingi_mRNA,952
XM_049686409.1,Anopheles_darlingi_mRNA,4837
XM_049686402.1,Anopheles_darlingi_mRNA,4924
XM_049686394.1,Anopheles_darlingi_mRNA,5335
XM_049686386.1,Anopheles_darlingi_mRNA,5362
XM_049686373.1,Anopheles_darlingi_mRNA,910
XM_049686358.1,Anopheles_darlingi_mRNA,1784
XM_049686345.1,Anopheles_darlingi_mRNA,2818
XM_049686336.1,Anopheles_darlingi_mRNA,2788
XM_049686321.1,Anopheles_darlingi_mRNA,3467
XM_049686307.1,Anopheles_darlingi_mRNA,700
XM_049686293.1,Anopheles_darlingi_mRNA,595
XM_049686279.1,Anopheles_darlingi_mRNA,2172
XM_049686270.1,Anopheles_darlingi_mRNA,2271
XM_049686260.1,Anopheles_darlingi_mRNA,2236
XM_049686246.1,Anopheles_darlingi_mRNA,1756
XM_049686240.1,Anopheles_darlingi_mRNA,1661
XM_049686226.1,Anopheles_darlingi_mRNA,1201
XM_049686216.1,Anopheles_darlingi_mRNA,1378
XM_049686205.1,Anopheles_darlingi_mRNA,2531
XM_049686193.1,Anopheles_darlingi_mRNA,1031
XM_049686185.1,Anopheles_darlingi_mRNA,1100
XM_049686172.1,Anopheles_darlingi_mRNA,1389
XM_049686161.1,Anopheles_darlingi_mRNA,1592
XM_049686150.1,Anopheles_darlingi_mRNA,1900
XM_049686137.1,Anopheles_darlingi_mRNA,1427
XM_049686127.1,Anopheles_darlingi_mRNA,2116
XM_049686116.1,Anopheles_darlingi_mRNA,2119
XM_049686102.1,Anopheles_darlingi_mRNA,1782
XM_049686089.1,Anopheles_darlingi_mRNA,7388
XM_049686078.1,Anopheles_darlingi_mRNA,7522
XM_049686069.1,Anopheles_darlingi_mRNA,6723
XM_049686058.1,Anopheles_darlingi_mRNA,7706
XM_049686048.1,Anopheles_darlingi_mRNA,7536
XM_049686033.1,Anopheles_darlingi_mRNA,2517
XM_049686023.1,Anopheles_darlingi_mRNA,1741
XM_049686010.1,Anopheles_darlingi_mRNA,2354
XM_049685996.1,Anopheles_darlingi_mRNA,1824
XM_049685981.1,Anopheles_darlingi_mRNA,1988
XM_049685972.1,Anopheles_darlingi_mRNA,2232
XM_049685965.1,Anopheles_darlingi_mRNA,2193
XM_049685954.1,Anopheles_darlingi_mRNA,1583
XM_049685942.1,Anopheles_darlingi_mRNA,2361
XM_049685931.1,Anopheles_darlingi_mRNA,5099
XM_049685919.1,Anopheles_darlingi_mRNA,2178
XM_049685905.1,Anopheles_darlingi_mRNA,1582
XM_049685893.1,Anopheles_darlingi_mRNA,2264
XM_049685880.1,Anopheles_darlingi_mRNA,2260
XM_049685865.1,Anopheles_darlingi_mRNA,2321
XM_049685856.1,Anopheles_darlingi_mRNA,2881
XM_049685844.1,Anopheles_darlingi_mRNA,3978
XM_049685836.1,Anopheles_darlingi_mRNA,4040
XM_049685828.1,Anopheles_darlingi_mRNA,3755
XM_049685815.1,Anopheles_darlingi_mRNA,3690
XM_049685801.1,Anopheles_darlingi_mRNA,2414
XM_049685789.1,Anopheles_darlingi_mRNA,2284
XM_049685774.1,Anopheles_darlingi_mRNA,2282
XM_049685761.1,Anopheles_darlingi_mRNA,2261
XM_049685748.1,Anopheles_darlingi_mRNA,3113
XM_049685734.1,Anopheles_darlingi_mRNA,2344
XM_049685720.1,Anopheles_darlingi_mRNA,2648
XM_049685707.1,Anopheles_darlingi_mRNA,3127
XM_049685692.1,Anopheles_darlingi_mRNA,5286
XM_049685683.1,Anopheles_darlingi_mRNA,5514
XM_049685670.1,Anopheles_darlingi_mRNA,4943
XM_049685657.1,Anopheles_darlingi_mRNA,4130
XM_049685644.1,Anopheles_darlingi_mRNA,4776
XM_049685631.1,Anopheles_darlingi_mRNA,7358
XM_049685621.1,Anopheles_darlingi_mRNA,7789
XM_049685612.1,Anopheles_darlingi_mRNA,7487
XM_049685603.1,Anopheles_darlingi_mRNA,7980
XM_049685595.1,Anopheles_darlingi_mRNA,7482
XM_049685586.1,Anopheles_darlingi_mRNA,7975
XM_049685573.1,Anopheles_darlingi_mRNA,7177
XM_049685564.1,Anopheles_darlingi_mRNA,7139
XM_049685549.1,Anopheles_darlingi_mRNA,7718
XM_049685538.1,Anopheles_darlingi_mRNA,5347
XM_049685530.1,Anopheles_darlingi_mRNA,5575
XM_049685519.1,Anopheles_darlingi_mRNA,7048
XM_049685506.1,Anopheles_darlingi_mRNA,6213
XM_049685498.1,Anopheles_darlingi_mRNA,6373
XM_049685490.1,Anopheles_darlingi_mRNA,6376
XM_049685477.1,Anopheles_darlingi_mRNA,6586
XM_049685462.1,Anopheles_darlingi_mRNA,6772
XM_049685454.1,Anopheles_darlingi_mRNA,6648
XM_049685440.1,Anopheles_darlingi_mRNA,6394
XM_049685430.1,Anopheles_darlingi_mRNA,5889
XM_049685417.1,Anopheles_darlingi_mRNA,6231
XM_049685409.1,Anopheles_darlingi_mRNA,6238
XM_049685401.1,Anopheles_darlingi_mRNA,6222
XM_049685392.1,Anopheles_darlingi_mRNA,6282
XM_049685383.1,Anopheles_darlingi_mRNA,6231
XM_049685370.1,Anopheles_darlingi_mRNA,7526
XM_049685355.1,Anopheles_darlingi_mRNA,1950
XM_049685348.1,Anopheles_darlingi_mRNA,2102
XM_049685337.1,Anopheles_darlingi_mRNA,2100
XM_049685324.1,Anopheles_darlingi_mRNA,766
XM_049685311.1,Anopheles_darlingi_mRNA,2166
XM_049685305.1,Anopheles_darlingi_mRNA,2238
XM_049685292.1,Anopheles_darlingi_mRNA,6687
XM_049685283.1,Anopheles_darlingi_mRNA,6830
XM_049685273.1,Anopheles_darlingi_mRNA,6098
XM_049685266.1,Anopheles_darlingi_mRNA,6023
XM_049685256.1,Anopheles_darlingi_mRNA,6442
XM_049685249.1,Anopheles_darlingi_mRNA,6436
XM_049685240.1,Anopheles_darlingi_mRNA,6714
XM_049685227.1,Anopheles_darlingi_mRNA,3494
XM_049685213.1,Anopheles_darlingi_mRNA,5251
XM_049685205.1,Anopheles_darlingi_mRNA,5311
XM_049685196.1,Anopheles_darlingi_mRNA,5383
XM_049685184.1,Anopheles_darlingi_mRNA,2044
XM_049685172.1,Anopheles_darlingi_mRNA,2419
XM_049685159.1,Anopheles_darlingi_mRNA,795
XM_049685147.1,Anopheles_darlingi_mRNA,6473
XM_049685139.1,Anopheles_darlingi_mRNA,6619
XM_049685130.1,Anopheles_darlingi_mRNA,6648
XM_049685120.1,Anopheles_darlingi_mRNA,6643
XM_049685109.1,Anopheles_darlingi_mRNA,3351
XM_049685101.1,Anopheles_darlingi_mRNA,4252
XM_049685088.1,Anopheles_darlingi_mRNA,1030
XM_049685069.1,Anopheles_darlingi_mRNA,2123
XM_049685057.1,Anopheles_darlingi_mRNA,1648
XM_049685032.1,Anopheles_darlingi_mRNA,2212
XM_049685022.1,Anopheles_darlingi_mRNA,2718
XM_049685012.1,Anopheles_darlingi_mRNA,2851
XM_049684999.1,Anopheles_darlingi_mRNA,3780
XM_049684985.1,Anopheles_darlingi_mRNA,4775
XM_049684975.1,Anopheles_darlingi_mRNA,4911
XM_049684964.1,Anopheles_darlingi_mRNA,1862
XM_049684952.1,Anopheles_darlingi_mRNA,1272
XM_049684944.1,Anopheles_darlingi_mRNA,1273
XM_049684937.1,Anopheles_darlingi_mRNA,1319
XM_049684927.1,Anopheles_darlingi_mRNA,1620
XM_049684915.1,Anopheles_darlingi_mRNA,3195
XM_049684903.1,Anopheles_darlingi_mRNA,1633
XM_049684895.1,Anopheles_darlingi_mRNA,2161
XM_049684886.1,Anopheles_darlingi_mRNA,1661
XM_049684878.1,Anopheles_darlingi_mRNA,2097
XM_049684866.1,Anopheles_darlingi_mRNA,2759
XM_049684859.1,Anopheles_darlingi_mRNA,2728
XM_049684849.1,Anopheles_darlingi_mRNA,2728
XM_049684838.1,Anopheles_darlingi_mRNA,2454
XM_049684825.1,Anopheles_darlingi_mRNA,3123
XM_049684813.1,Anopheles_darlingi_mRNA,1196
XM_049684803.1,Anopheles_darlingi_mRNA,1205
XM_049684791.1,Anopheles_darlingi_mRNA,7676
XM_049684779.1,Anopheles_darlingi_mRNA,948
XM_049684766.1,Anopheles_darlingi_mRNA,2419
XM_049684756.1,Anopheles_darlingi_mRNA,2385
XM_049684746.1,Anopheles_darlingi_mRNA,2823
XM_049684736.1,Anopheles_darlingi_mRNA,2426
XM_049684726.1,Anopheles_darlingi_mRNA,2483
XM_049684716.1,Anopheles_darlingi_mRNA,2460
XM_049684705.1,Anopheles_darlingi_mRNA,2466
XM_049684694.1,Anopheles_darlingi_mRNA,2414
XM_049684685.1,Anopheles_darlingi_mRNA,2362
XM_049684676.1,Anopheles_darlingi_mRNA,2487
XM_049684660.1,Anopheles_darlingi_mRNA,2300
XM_049684646.1,Anopheles_darlingi_mRNA,4219
XM_049684629.1,Anopheles_darlingi_mRNA,9433
XM_049684615.1,Anopheles_darlingi_mRNA,8139
XM_049684607.1,Anopheles_darlingi_mRNA,8369
XM_049684599.1,Anopheles_darlingi_mRNA,8333
XM_049684589.1,Anopheles_darlingi_mRNA,8858
XM_049684580.1,Anopheles_darlingi_mRNA,8786
XM_049684573.1,Anopheles_darlingi_mRNA,8841
XM_049684560.1,Anopheles_darlingi_mRNA,804
XM_049684548.1,Anopheles_darlingi_mRNA,2212
XM_049684532.1,Anopheles_darlingi_mRNA,1928
XM_049684521.1,Anopheles_darlingi_mRNA,2370
XM_049684509.1,Anopheles_darlingi_mRNA,1573
XM_049684501.1,Anopheles_darlingi_mRNA,1581
XM_049684486.1,Anopheles_darlingi_mRNA,1181
XM_049684478.1,Anopheles_darlingi_mRNA,1212
XM_049684468.1,Anopheles_darlingi_mRNA,1156
XM_049684456.1,Anopheles_darlingi_mRNA,2274
XM_049684442.1,Anopheles_darlingi_mRNA,4623
XM_049684434.1,Anopheles_darlingi_mRNA,3327
XM_049684426.1,Anopheles_darlingi_mRNA,2951
XM_049684417.1,Anopheles_darlingi_mRNA,2947
XM_049684398.1,Anopheles_darlingi_mRNA,598
XM_049684384.1,Anopheles_darlingi_mRNA,1214
XM_049684371.1,Anopheles_darlingi_mRNA,796
XM_049684356.1,Anopheles_darlingi_mRNA,2325
XM_049684347.1,Anopheles_darlingi_mRNA,2397
XM_049684334.1,Anopheles_darlingi_mRNA,1747
XM_049684322.1,Anopheles_darlingi_mRNA,2232
XM_049684310.1,Anopheles_darlingi_mRNA,769
XM_049684298.1,Anopheles_darlingi_mRNA,3102
XM_049684286.1,Anopheles_darlingi_mRNA,3548
XM_049684274.1,Anopheles_darlingi_mRNA,2691
XM_049684265.1,Anopheles_darlingi_mRNA,2889
XM_049684257.1,Anopheles_darlingi_mRNA,3140
XM_049684248.1,Anopheles_darlingi_mRNA,3460
XM_049684240.1,Anopheles_darlingi_mRNA,3479
XM_049684225.1,Anopheles_darlingi_mRNA,2522
XM_049684216.1,Anopheles_darlingi_mRNA,2598
XM_049684207.1,Anopheles_darlingi_mRNA,2694
XM_049684197.1,Anopheles_darlingi_mRNA,2574
XM_049684191.1,Anopheles_darlingi_mRNA,3868
XM_049684185.1,Anopheles_darlingi_mRNA,3116
XM_049684172.1,Anopheles_darlingi_mRNA,1324
XM_049684158.1,Anopheles_darlingi_mRNA,2177
XM_049684148.1,Anopheles_darlingi_mRNA,2202
XM_049684140.1,Anopheles_darlingi_mRNA,2201
XM_049684127.1,Anopheles_darlingi_mRNA,543
XM_049684117.1,Anopheles_darlingi_mRNA,620
XM_049684105.1,Anopheles_darlingi_mRNA,663
XM_049684094.1,Anopheles_darlingi_mRNA,966
XM_049684085.1,Anopheles_darlingi_mRNA,990
XM_049684071.1,Anopheles_darlingi_mRNA,1531
XM_049684060.1,Anopheles_darlingi_mRNA,2659
XM_049684051.1,Anopheles_darlingi_mRNA,2578
XM_049684042.1,Anopheles_darlingi_mRNA,2577
XM_049684028.1,Anopheles_darlingi_mRNA,4318
XM_049684018.1,Anopheles_darlingi_mRNA,5621
XM_049684007.1,Anopheles_darlingi_mRNA,5666
XM_049683996.1,Anopheles_darlingi_mRNA,5679
XM_049683989.1,Anopheles_darlingi_mRNA,5684
XM_049683977.1,Anopheles_darlingi_mRNA,2080
XM_049683969.1,Anopheles_darlingi_mRNA,2030
XM_049683960.1,Anopheles_darlingi_mRNA,1976
XM_049683949.1,Anopheles_darlingi_mRNA,2731
XM_049683941.1,Anopheles_darlingi_mRNA,2740
XM_049683928.1,Anopheles_darlingi_mRNA,2709
XM_049683916.1,Anopheles_darlingi_mRNA,5829
XM_049683907.1,Anopheles_darlingi_mRNA,3781
XM_049683895.1,Anopheles_darlingi_mRNA,3801
XM_049683884.1,Anopheles_darlingi_mRNA,3837
XM_049683872.1,Anopheles_darlingi_mRNA,3894
XM_049683864.1,Anopheles_darlingi_mRNA,3820
XM_049683851.1,Anopheles_darlingi_mRNA,2275
XM_049683842.1,Anopheles_darlingi_mRNA,2376
XM_049683830.1,Anopheles_darlingi_mRNA,2762
XM_049683815.1,Anopheles_darlingi_mRNA,1797
XM_049683784.1,Anopheles_darlingi_mRNA,9903
XM_049683776.1,Anopheles_darlingi_mRNA,9978
XM_049683765.1,Anopheles_darlingi_mRNA,10032
XM_049683757.1,Anopheles_darlingi_mRNA,10035
XM_049683744.1,Anopheles_darlingi_mRNA,1234
XM_049683733.1,Anopheles_darlingi_mRNA,5090
XM_049683724.1,Anopheles_darlingi_mRNA,5100
XM_049683716.1,Anopheles_darlingi_mRNA,4865
XM_049683707.1,Anopheles_darlingi_mRNA,4918
XM_049683699.1,Anopheles_darlingi_mRNA,5137
XM_049683689.1,Anopheles_darlingi_mRNA,5148
XM_049683676.1,Anopheles_darlingi_mRNA,3966
XM_049683668.1,Anopheles_darlingi_mRNA,4069
XM_049683656.1,Anopheles_darlingi_mRNA,5865
XM_049683647.1,Anopheles_darlingi_mRNA,2024
XM_049683638.1,Anopheles_darlingi_mRNA,3760
XM_049683630.1,Anopheles_darlingi_mRNA,3862
XM_049683619.1,Anopheles_darlingi_mRNA,1521
XM_049683607.1,Anopheles_darlingi_mRNA,2319
XM_049683593.1,Anopheles_darlingi_mRNA,3070
XM_049683585.1,Anopheles_darlingi_mRNA,2992
XM_049683574.1,Anopheles_darlingi_mRNA,2248
XM_049683566.1,Anopheles_darlingi_mRNA,2350
XM_049683558.1,Anopheles_darlingi_mRNA,2258
XM_049683546.1,Anopheles_darlingi_mRNA,1892
XM_049683535.1,Anopheles_darlingi_mRNA,5157
XM_049683522.1,Anopheles_darlingi_mRNA,3058
XM_049683510.1,Anopheles_darlingi_mRNA,3335
XM_049683501.1,Anopheles_darlingi_mRNA,3552
XM_049683493.1,Anopheles_darlingi_mRNA,3480
XM_049683480.1,Anopheles_darlingi_mRNA,7178
XM_049683473.1,Anopheles_darlingi_mRNA,7183
XM_049683464.1,Anopheles_darlingi_mRNA,7157
XM_049683456.1,Anopheles_darlingi_mRNA,7202
XM_049683441.1,Anopheles_darlingi_mRNA,7448
XM_049683432.1,Anopheles_darlingi_mRNA,7545
XM_049683422.1,Anopheles_darlingi_mRNA,7387
XM_049683414.1,Anopheles_darlingi_mRNA,7450
XM_049683405.1,Anopheles_darlingi_mRNA,7487
XM_049683397.1,Anopheles_darlingi_mRNA,7446
XM_049683389.1,Anopheles_darlingi_mRNA,7586
XM_049683367.1,Anopheles_darlingi_mRNA,983
XM_049683354.1,Anopheles_darlingi_mRNA,3408
XM_049683341.1,Anopheles_darlingi_mRNA,1832
XM_049683327.1,Anopheles_darlingi_mRNA,4480
XM_049683319.1,Anopheles_darlingi_mRNA,2463
XM_049683308.1,Anopheles_darlingi_mRNA,2645
XM_049683296.1,Anopheles_darlingi_mRNA,2827
XM_049683284.1,Anopheles_darlingi_mRNA,4419
XM_049683275.1,Anopheles_darlingi_mRNA,4713
XM_049683248.1,Anopheles_darlingi_mRNA,715
XM_049683235.1,Anopheles_darlingi_mRNA,8045
XM_049683226.1,Anopheles_darlingi_mRNA,7810
XM_049683218.1,Anopheles_darlingi_mRNA,7951
XM_049683206.1,Anopheles_darlingi_mRNA,6631
XM_049683198.1,Anopheles_darlingi_mRNA,6850
XM_049683190.1,Anopheles_darlingi_mRNA,6758
XM_049683176.1,Anopheles_darlingi_mRNA,945
XM_049683163.1,Anopheles_darlingi_mRNA,5079
XM_049683159.1,Anopheles_darlingi_mRNA,5297
XM_049683152.1,Anopheles_darlingi_mRNA,5526
XM_049683143.1,Anopheles_darlingi_mRNA,5562
XM_049683135.1,Anopheles_darlingi_mRNA,5247
XM_049683128.1,Anopheles_darlingi_mRNA,5849
XM_049683118.1,Anopheles_darlingi_mRNA,5687
XM_049683110.1,Anopheles_darlingi_mRNA,7529
XM_049683099.1,Anopheles_darlingi_mRNA,2018
XM_049683088.1,Anopheles_darlingi_mRNA,1801
XM_049683077.1,Anopheles_darlingi_mRNA,5147
XM_049683068.1,Anopheles_darlingi_mRNA,5150
XM_049683019.1,Anopheles_darlingi_mRNA,1864
XM_049683012.1,Anopheles_darlingi_mRNA,1974
XM_049683003.1,Anopheles_darlingi_mRNA,1981
XM_049682991.1,Anopheles_darlingi_mRNA,2267
XM_049682979.1,Anopheles_darlingi_mRNA,2427
XM_049682965.1,Anopheles_darlingi_mRNA,5588
XM_049682952.1,Anopheles_darlingi_mRNA,3833
XM_049682944.1,Anopheles_darlingi_mRNA,3945
XM_049682931.1,Anopheles_darlingi_mRNA,3233
XM_049682917.1,Anopheles_darlingi_mRNA,751
XM_049682903.1,Anopheles_darlingi_mRNA,1724
XM_049682892.1,Anopheles_darlingi_mRNA,2481
XM_049682872.1,Anopheles_darlingi_mRNA,1974
XM_049682863.1,Anopheles_darlingi_mRNA,1993
XM_049682856.1,Anopheles_darlingi_mRNA,2131
XM_049682843.1,Anopheles_darlingi_mRNA,8172
XM_049682835.1,Anopheles_darlingi_mRNA,8197
XM_049682825.1,Anopheles_darlingi_mRNA,6552
XM_049682815.1,Anopheles_darlingi_mRNA,6708
XM_049682803.1,Anopheles_darlingi_mRNA,9870
XM_049682791.1,Anopheles_darlingi_mRNA,1588
XM_049682778.1,Anopheles_darlingi_mRNA,2970
XM_049682770.1,Anopheles_darlingi_mRNA,3474
XM_049682758.1,Anopheles_darlingi_mRNA,2965
XM_049682744.1,Anopheles_darlingi_mRNA,5031
XM_049682736.1,Anopheles_darlingi_mRNA,5142
XM_049682727.1,Anopheles_darlingi_mRNA,5542
XM_049682719.1,Anopheles_darlingi_mRNA,5616
XM_049682712.1,Anopheles_darlingi_mRNA,5635
XM_049682701.1,Anopheles_darlingi_mRNA,2930
XM_049682699.1,Anopheles_darlingi_mRNA,4752
XM_049682698.1,Anopheles_darlingi_mRNA,5089
XM_049682697.1,Anopheles_darlingi_mRNA,4133
XM_049682696.1,Anopheles_darlingi_mRNA,4105
XM_049682695.1,Anopheles_darlingi_mRNA,4475
XM_049682694.1,Anopheles_darlingi_mRNA,1040
XM_049682693.1,Anopheles_darlingi_mRNA,817
XM_049682692.1,Anopheles_darlingi_mRNA,1016
XM_049682690.1,Anopheles_darlingi_mRNA,1054
XM_049682689.1,Anopheles_darlingi_mRNA,925
XM_049682688.1,Anopheles_darlingi_mRNA,6240
XM_049682687.1,Anopheles_darlingi_mRNA,6256
XM_049682686.1,Anopheles_darlingi_mRNA,6396
XM_049682685.1,Anopheles_darlingi_mRNA,616
XM_049682684.1,Anopheles_darlingi_mRNA,1340
XM_049682683.1,Anopheles_darlingi_mRNA,1354
XM_049682682.1,Anopheles_darlingi_mRNA,4386
XM_049682681.1,Anopheles_darlingi_mRNA,3758
XM_049682680.1,Anopheles_darlingi_mRNA,3809
XM_049682679.1,Anopheles_darlingi_mRNA,3809
XM_049682677.1,Anopheles_darlingi_mRNA,3809
XM_049682676.1,Anopheles_darlingi_mRNA,3769
XM_049682675.1,Anopheles_darlingi_mRNA,3916
XM_049682663.1,Anopheles_darlingi_mRNA,7594
XM_049682651.1,Anopheles_darlingi_mRNA,2834
XM_049682639.1,Anopheles_darlingi_mRNA,607
XM_049682626.1,Anopheles_darlingi_mRNA,771
XM_049682612.1,Anopheles_darlingi_mRNA,793
XM_049682589.1,Anopheles_darlingi_mRNA,509
XM_049682578.1,Anopheles_darlingi_mRNA,531
XM_049682566.1,Anopheles_darlingi_mRNA,596
XM_049682542.1,Anopheles_darlingi_mRNA,759
XM_049682530.1,Anopheles_darlingi_mRNA,1178
XM_049682517.1,Anopheles_darlingi_mRNA,605
XM_049682505.1,Anopheles_darlingi_mRNA,3158
XM_049682497.1,Anopheles_darlingi_mRNA,3105
XM_049682486.1,Anopheles_darlingi_mRNA,5170
XM_049682477.1,Anopheles_darlingi_mRNA,5247
XM_049682468.1,Anopheles_darlingi_mRNA,5707
XM_049682458.1,Anopheles_darlingi_mRNA,5711
XM_049682445.1,Anopheles_darlingi_mRNA,1538
XM_049682432.1,Anopheles_darlingi_mRNA,2228
XM_049682422.1,Anopheles_darlingi_mRNA,1103
XM_049682413.1,Anopheles_darlingi_mRNA,1143
XM_049682402.1,Anopheles_darlingi_mRNA,2651
XM_049682393.1,Anopheles_darlingi_mRNA,2724
XM_049682374.1,Anopheles_darlingi_mRNA,3741
XM_049682360.1,Anopheles_darlingi_mRNA,1849
XM_049682345.1,Anopheles_darlingi_mRNA,2259
XM_049682337.1,Anopheles_darlingi_mRNA,2210
XM_049682328.1,Anopheles_darlingi_mRNA,2054
XM_049682319.1,Anopheles_darlingi_mRNA,2206
XM_049682306.1,Anopheles_darlingi_mRNA,1330
XM_049682293.1,Anopheles_darlingi_mRNA,1591
XM_049682280.1,Anopheles_darlingi_mRNA,1713
XM_049682271.1,Anopheles_darlingi_mRNA,1509
XM_049682262.1,Anopheles_darlingi_mRNA,1542
XM_049682250.1,Anopheles_darlingi_mRNA,2132
XM_049682237.1,Anopheles_darlingi_mRNA,1372
XM_049682228.1,Anopheles_darlingi_mRNA,1302
XM_049682216.1,Anopheles_darlingi_mRNA,1266
XM_049682204.1,Anopheles_darlingi_mRNA,1519
XM_049682195.1,Anopheles_darlingi_mRNA,1835
XM_049682181.1,Anopheles_darlingi_mRNA,1988
XM_049682173.1,Anopheles_darlingi_mRNA,3530
XM_049682164.1,Anopheles_darlingi_mRNA,3552
XM_049682149.1,Anopheles_darlingi_mRNA,1536
XM_049682137.1,Anopheles_darlingi_mRNA,1624
XM_049682124.1,Anopheles_darlingi_mRNA,1791
XM_049682112.1,Anopheles_darlingi_mRNA,3105
XM_049682104.1,Anopheles_darlingi_mRNA,3903
XM_049682095.1,Anopheles_darlingi_mRNA,4754
XM_049682086.1,Anopheles_darlingi_mRNA,2059
XM_049682076.1,Anopheles_darlingi_mRNA,4183
XM_049682067.1,Anopheles_darlingi_mRNA,4655
XM_049682058.1,Anopheles_darlingi_mRNA,4740
XM_049682050.1,Anopheles_darlingi_mRNA,5020
