seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
XM_021855646.1	3522	No terminal repeats	NA	1	11	0.8226	0.0409	0	0.0000	Unclassified
XM_049685383.1	6231	No terminal repeats	NA	1	11	0.8201	0.0417	0	0.0000	Unclassified
XM_049674713.1	6594	No terminal repeats	NA	2	11	0.8199	0.0424	0	0.0000	Unclassified
XM_049674647.1	6365	No terminal repeats	NA	2	11	0.8197	0.0432	0	0.0000	Unclassified
XM_049691574.1	2774	No terminal repeats	NA	1	11	0.8140	0.0440	0	0.0000	Unclassified
XM_049674745.1	6277	No terminal repeats	NA	3	11	0.8121	0.0447	0	0.0000	Unclassified
XM_085036922.1	3409	No terminal repeats	NA	1	11	0.8121	0.0455	0	0.0000	Unclassified
XM_085036491.1	3060	No terminal repeats	NA	1	11	0.8114	0.0463	0	0.0000	Unclassified
NZ_JAFEVH010000049.1	7321	No terminal repeats	NA	8	11	0.8086	0.0471	0	3.3785	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
XM_049684225.1	2522	No terminal repeats	NA	1	11	0.7891	0.0479	0	0.0000	Unclassified
NM_001358330.1	3109	No terminal repeats	NA	1	11	0.7755	0.0489	0	0.0000	Unclassified
XM_049687909.1	3814	No terminal repeats	NA	2	11	0.7650	0.0499	0	0.0000	Unclassified
XM_049674952.1	4844	No terminal repeats	NA	1	11	0.7648	0.0508	0	0.0000	Unclassified
XM_049690954.1	3406	No terminal repeats	NA	1	11	0.7626	0.0518	0	0.0000	Unclassified
XM_085036660.1	4056	No terminal repeats	NA	1	11	0.7575	0.0528	0	0.0000	Unclassified
XM_085036622.1	3926	No terminal repeats	NA	1	11	0.7514	0.0538	0	0.0000	Unclassified
XM_039577353.2	5507	No terminal repeats	NA	6	11	0.7475	0.0548	0	0.0000	Unclassified
NZ_JAFEVH010000073.1	4506	No terminal repeats	NA	11	11	0.7471	0.0558	2	2.8376	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049681350.1	5012	No terminal repeats	NA	1	11	0.7455	0.0568	0	0.0000	Unclassified
NZ_JBIXJM010000160.1	5262	No terminal repeats	NA	5	11	0.7407	0.0579	0	1.3877	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049674703.1	6286	No terminal repeats	NA	2	11	0.7383	0.0589	0	0.0000	Unclassified
XM_049674969.1	5038	No terminal repeats	NA	1	11	0.7380	0.0599	0	0.0000	Unclassified
NZ_JBIXJM010000060.1	605	No terminal repeats	NA	1	11	0.7344	0.0609	1	1.4173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
XM_049674960.1	5016	No terminal repeats	NA	1	11	0.7313	0.0619	0	0.0000	Unclassified
XM_049688130.1	2778	No terminal repeats	NA	1	11	0.7253	0.0630	0	0.0000	Unclassified
XM_049674537.1	7391	No terminal repeats	NA	1	11	0.7210	0.0641	0	0.0000	Unclassified
XM_049673559.1	4915	No terminal repeats	NA	1	11	0.7143	0.0651	0	0.0000	Unclassified
XM_021855887.1	2911	No terminal repeats	NA	1	11	0.7127	0.0662	0	0.0000	Unclassified
XM_085037536.1	7444	No terminal repeats	NA	2	11	0.7039	0.0673	0	0.0000	Unclassified
